
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,5,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
1,0,0,0,0,0,0,1,0,0,79,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
5,9,0,0,27,0,0,0,0,0,20,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,7,5,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
